"fips","ad_2006","ad_2013","ad_2014","state"
1001,44.26,19.23,18.59,"AL"
1003,24.64,17.70,16.54,"AL"
1005,75.40,10.38,12.27,"AL"
1007,21.97,11.11,6.66,"AL"
1009,16.14,11.78,6.93,"AL"
1011,66.07,8.49,0.00,"AL"
1013,36.37,37.46,34.49,"AL"
1015,46.04,36.89,37.10,"AL"
1017,50.67,24.58,25.82,"AL"
1019,24.97,38.29,31.88,"AL"
1021,43.21,23.50,29.36,"AL"
1023,16.07,13.44,12.76,"AL"
1025,23.85,30.20,30.07,"AL"
1027,56.19,39.24,32.47,"AL"
1029,70.93,36.63,27.19,"AL"
1031,45.57,18.29,14.14,"AL"
1033,43.15,20.92,22.00,"AL"
1035,52.66,3.88,5.52,"AL"
1037,55.37,45.19,45.01,"AL"
1039,74.51,58.12,56.44,"AL"
1041,27.95,11.46,12.16,"AL"
1043,36.03,30.45,24.97,"AL"
1045,32.13,16.65,14.15,"AL"
1047,31.10,14.25,9.83,"AL"
1049,31.37,13.96,17.03,"AL"
1051,31.54,16.46,14.45,"AL"
1053,45.06,30.08,35.51,"AL"
1055,54.67,33.67,36.90,"AL"
1057,35.07,29.57,14.82,"AL"
1059,52.74,30.12,25.63,"AL"
1061,33.97,22.06,16.85,"AL"
1063,30.22,13.76,8.18,"AL"
1065,5.77,3.27,0.00,"AL"
1067,46.22,17.42,22.69,"AL"
1069,77.20,43.81,43.57,"AL"
1071,32.72,22.85,22.03,"AL"
1073,48.14,23.97,24.58,"AL"
1075,23.62,18.31,19.88,"AL"
1077,28.49,19.62,24.17,"AL"
1079,41.17,36.04,36.14,"AL"
1081,26.52,20.76,17.18,"AL"
1083,24.16,14.73,11.68,"AL"
1085,25.26,16.78,17.01,"AL"
1087,23.55,14.13,14.41,"AL"
1089,36.25,20.31,18.21,"AL"
1091,37.74,42.52,19.89,"AL"
1093,70.55,43.89,49.22,"AL"
1095,20.60,18.61,16.70,"AL"
1097,52.37,40.14,37.70,"AL"
1099,21.07,4.51,15.49,"AL"
1101,57.21,24.33,21.97,"AL"
1103,39.02,25.91,34.70,"AL"
1105,21.17,5.01,0.00,"AL"
1107,30.74,20.12,16.70,"AL"
1109,66.71,22.86,20.07,"AL"
1111,80.20,42.80,40.37,"AL"
1113,61.39,36.35,38.08,"AL"
1115,28.51,27.36,30.80,"AL"
1117,15.68,18.90,15.82,"AL"
1119,14.76,11.24,6.84,"AL"
1121,61.82,23.24,18.81,"AL"
1123,51.66,25.47,32.31,"AL"
1125,29.67,24.71,26.51,"AL"
1127,41.58,25.05,26.73,"AL"
1129,23.14,15.44,20.20,"AL"
1131,7.81,4.44,5.41,"AL"
1133,42.31,31.84,29.40,"AL"
5001,63.83,62.70,54.86,"AR"
5003,51.74,51.29,58.24,"AR"
5005,24.95,20.25,23.99,"AR"
5007,17.89,23.01,23.89,"AR"
5009,28.03,21.13,24.46,"AR"
5011,28.90,41.10,30.50,"AR"
5013,52.64,24.91,21.15,"AR"
5015,15.98,17.29,22.35,"AR"
5017,36.14,41.45,66.19,"AR"
5019,36.23,47.14,36.32,"AR"
5021,17.10,26.15,35.72,"AR"
5023,18.95,31.57,45.25,"AR"
5025,34.69,24.53,39.06,"AR"
5027,31.01,35.03,33.43,"AR"
5029,37.20,32.58,44.59,"AR"
5031,30.08,24.99,25.26,"AR"
5033,42.07,38.11,44.41,"AR"
5035,80.28,56.27,61.56,"AR"
5037,12.95,10.28,17.41,"AR"
5039,38.53,26.51,23.21,"AR"
5041,24.27,41.63,49.74,"AR"
5043,35.86,44.32,42.42,"AR"
5045,27.34,19.43,25.59,"AR"
5047,24.36,33.44,38.75,"AR"
5049,17.12,24.54,19.79,"AR"
5051,17.61,28.23,26.61,"AR"
5053,20.09,29.92,33.62,"AR"
5055,27.24,43.65,49.89,"AR"
5057,29.77,39.74,38.97,"AR"
5059,28.33,40.97,39.56,"AR"
5061,73.47,59.81,75.56,"AR"
5063,28.54,39.36,43.56,"AR"
5065,25.81,30.68,30.40,"AR"
5067,53.34,74.16,74.71,"AR"
5069,25.60,43.10,46.34,"AR"
5071,25.34,40.56,38.45,"AR"
5073,39.99,41.41,50.63,"AR"
5075,15.09,49.24,64.97,"AR"
5077,12.66,26.89,28.40,"AR"
5079,14.84,11.39,12.88,"AR"
5081,76.20,55.73,86.98,"AR"
5083,16.20,20.38,24.59,"AR"
5085,27.43,29.93,32.84,"AR"
5087,28.08,20.35,17.15,"AR"
5089,14.45,10.96,13.44,"AR"
5091,52.86,71.23,71.15,"AR"
5093,48.14,38.90,44.99,"AR"
5095,20.00,53.48,52.76,"AR"
5097,8.52,22.79,33.03,"AR"
5099,30.17,25.03,21.78,"AR"
5101,7.31,6.20,0.00,"AR"
5103,45.61,28.79,35.44,"AR"
5105,0.00,18.37,12.69,"AR"
5107,25.41,26.93,45.66,"AR"
5109,37.33,52.13,49.89,"AR"
5111,41.80,30.96,31.35,"AR"
5113,23.86,32.43,43.02,"AR"
5115,28.60,40.48,40.51,"AR"
5117,21.00,31.10,72.25,"AR"
5119,27.89,30.78,31.35,"AR"
5121,26.82,25.52,33.58,"AR"
5123,25.44,13.92,20.82,"AR"
5125,11.74,17.17,21.09,"AR"
5127,27.90,43.98,28.06,"AR"
5129,17.28,20.03,18.92,"AR"
5131,44.89,63.88,61.60,"AR"
5133,30.34,51.32,46.48,"AR"
5135,21.51,34.57,28.39,"AR"
5137,30.36,27.13,32.02,"AR"
5139,51.81,45.24,42.76,"AR"
5141,36.74,22.99,21.36,"AR"
5143,44.49,37.55,36.64,"AR"
5145,23.27,21.74,25.19,"AR"
5147,8.36,19.85,26.05,"AR"
5149,29.98,21.55,26.42,"AR"
9001,0.00,0.00,0.00,"CT"
9003,0.00,0.00,0.00,"CT"
9005,0.00,0.00,0.00,"CT"
9007,0.00,0.00,0.00,"CT"
9009,0.00,0.00,0.00,"CT"
9011,0.00,0.00,0.00,"CT"
9013,0.00,0.00,0.00,"CT"
9015,0.00,0.00,0.00,"CT"
10001,0.00,0.00,0.00,"DE"
10003,0.00,0.00,0.00,"DE"
10005,0.00,0.00,0.00,"DE"
11001,0.00,0.00,0.00,"DC"
12001,31.70,25.98,23.99,"FL"
12003,33.62,26.65,23.99,"FL"
12005,61.63,51.55,46.88,"FL"
12007,43.24,32.33,68.53,"FL"
12009,20.23,18.64,16.92,"FL"
12011,17.49,12.56,11.63,"FL"
12013,31.29,30.72,39.22,"FL"
12015,18.79,16.79,18.40,"FL"
12017,16.33,20.34,21.45,"FL"
12019,12.35,21.01,19.52,"FL"
12021,11.15,8.91,9.38,"FL"
12023,38.48,39.96,41.12,"FL"
12027,28.28,30.62,27.13,"FL"
12029,29.57,35.73,33.95,"FL"
12031,18.74,22.51,20.27,"FL"
12033,41.19,29.92,24.98,"FL"
12035,8.74,14.31,13.48,"FL"
12037,38.95,30.93,24.55,"FL"
12039,59.33,30.31,35.87,"FL"
12041,6.50,25.43,19.42,"FL"
12043,15.29,19.70,32.27,"FL"
12045,34.83,17.72,33.24,"FL"
12047,37.53,9.78,7.12,"FL"
12049,17.93,20.43,22.93,"FL"
12051,17.73,29.40,21.30,"FL"
12053,13.86,26.58,18.88,"FL"
12055,29.92,22.67,21.89,"FL"
12057,29.99,19.08,15.63,"FL"
12059,25.67,37.66,43.26,"FL"
12061,22.39,14.36,14.09,"FL"
12063,38.11,35.31,30.53,"FL"
12065,31.10,23.96,20.64,"FL"
12067,36.59,13.57,10.19,"FL"
12069,17.18,16.88,12.26,"FL"
12071,10.05,12.44,12.70,"FL"
12073,35.14,28.70,27.18,"FL"
12075,30.78,33.00,19.19,"FL"
12077,27.68,28.82,29.90,"FL"
12079,41.95,26.19,14.58,"FL"
12081,9.62,11.94,13.56,"FL"
12083,40.96,32.54,26.68,"FL"
12085,27.88,22.91,22.17,"FL"
12086,8.60,7.53,7.11,"FL"
12087,31.94,24.82,25.67,"FL"
12089,15.64,19.31,12.79,"FL"
12091,25.88,20.27,21.07,"FL"
12093,36.83,45.04,49.04,"FL"
12095,12.98,11.12,10.69,"FL"
12097,14.69,14.29,14.12,"FL"
12099,8.32,8.41,7.51,"FL"
12101,14.40,21.38,19.20,"FL"
12103,21.42,19.58,18.20,"FL"
12105,41.85,24.55,27.02,"FL"
12107,20.63,49.49,37.56,"FL"
12109,13.85,15.89,14.41,"FL"
12111,26.48,19.70,18.76,"FL"
12113,10.93,11.50,16.83,"FL"
12115,8.41,13.25,12.67,"FL"
12117,9.11,11.22,11.59,"FL"
12119,15.95,9.31,5.95,"FL"
12121,40.13,37.97,37.25,"FL"
12123,26.48,44.15,50.48,"FL"
12125,21.56,19.22,17.12,"FL"
12127,22.65,21.45,20.71,"FL"
12129,14.92,13.86,11.45,"FL"
12131,28.98,16.83,17.39,"FL"
12133,68.82,35.72,28.63,"FL"
13001,21.79,19.57,18.34,"GA"
13003,13.20,22.93,26.75,"GA"
13005,24.20,31.17,31.91,"GA"
13007,0.00,0.00,0.00,"GA"
13009,32.38,25.57,24.83,"GA"
13011,14.18,11.46,10.39,"GA"
13013,14.44,18.90,16.38,"GA"
13015,34.37,29.91,28.80,"GA"
13017,54.05,56.60,53.83,"GA"
13019,16.17,12.63,10.70,"GA"
13021,18.20,16.30,18.06,"GA"
13023,27.78,18.82,10.94,"GA"
13025,10.32,19.13,13.03,"GA"
13027,15.11,17.27,17.51,"GA"
13029,12.73,10.26,11.80,"GA"
13031,27.11,20.76,26.22,"GA"
13033,28.85,31.84,38.75,"GA"
13035,32.25,22.82,19.69,"GA"
13037,27.31,13.81,10.83,"GA"
13039,7.28,11.65,14.03,"GA"
13043,39.84,29.24,27.55,"GA"
13045,25.91,16.10,19.02,"GA"
13047,17.80,21.12,17.83,"GA"
13049,14.53,21.47,16.28,"GA"
13051,38.40,27.01,23.08,"GA"
13053,4.10,12.15,8.45,"GA"
13055,46.36,37.42,34.89,"GA"
13057,12.64,10.14,12.21,"GA"
13059,16.74,13.12,11.66,"GA"
13061,41.49,36.22,22.57,"GA"
13063,30.37,26.17,25.57,"GA"
13065,25.13,22.05,30.74,"GA"
13067,21.28,21.50,19.74,"GA"
13069,20.54,20.64,18.69,"GA"
13071,23.59,9.72,12.80,"GA"
13073,8.11,11.96,11.49,"GA"
13075,23.44,18.80,20.33,"GA"
13077,18.08,18.02,15.34,"GA"
13079,5.55,4.81,6.46,"GA"
13081,45.49,35.73,38.81,"GA"
13083,36.79,17.57,17.69,"GA"
13085,24.12,19.43,20.91,"GA"
13087,37.58,28.50,20.57,"GA"
13089,15.95,16.03,15.68,"GA"
13091,33.95,36.25,27.17,"GA"
13093,29.55,23.75,22.55,"GA"
13095,41.50,38.01,41.88,"GA"
13097,44.65,44.16,38.62,"GA"
13099,29.67,22.83,24.78,"GA"
13101,0.00,12.51,0.00,"GA"
13103,13.78,15.60,9.02,"GA"
13105,34.66,27.16,31.38,"GA"
13107,17.65,27.56,19.78,"GA"
13109,33.94,23.12,30.28,"GA"
13111,25.83,13.90,13.89,"GA"
13113,11.58,16.43,14.59,"GA"
13115,51.90,42.28,41.01,"GA"
13117,7.93,9.63,8.37,"GA"
13119,29.55,32.21,28.75,"GA"
13121,18.62,12.99,11.93,"GA"
13123,20.14,14.69,12.49,"GA"
13125,0.00,0.00,0.00,"GA"
13127,15.45,26.74,20.81,"GA"
13129,33.03,29.91,39.07,"GA"
13131,39.37,23.36,12.22,"GA"
13133,26.10,35.62,28.50,"GA"
13135,8.79,15.48,12.52,"GA"
13137,11.12,7.85,9.14,"GA"
13139,21.60,17.10,15.46,"GA"
13141,11.91,12.36,15.28,"GA"
13143,18.19,32.30,35.61,"GA"
13145,9.92,13.16,13.99,"GA"
13147,21.70,26.69,26.80,"GA"
13149,28.19,20.76,17.24,"GA"
13151,15.12,11.86,10.10,"GA"
13153,20.04,17.04,16.03,"GA"
13155,16.72,31.87,10.98,"GA"
13157,14.69,15.91,15.68,"GA"
13159,21.82,18.46,14.15,"GA"
13161,23.93,24.69,22.88,"GA"
13163,11.38,33.66,18.44,"GA"
13165,21.99,15.11,17.53,"GA"
13167,25.24,15.34,11.34,"GA"
13169,30.72,32.33,29.87,"GA"
13171,20.95,17.83,16.48,"GA"
13173,16.59,10.58,9.64,"GA"
13175,25.10,21.49,26.54,"GA"
