"county","black_pop_1980","total_pop_1980","black_pop_2010","total_pop_2010","black_pop_2000","total_pop_2000","black_pop_1960","total_pop_1960","black_pop_1910","total_pop_1910"
21,3,1680,10,2508,3,2392,NULL,NULL,NULL,NULL
202,9258,174431,16226,291826,15199,260283,NULL,NULL,NULL,NULL
205,26,10999,65,17013,61,16006,NULL,NULL,NULL,NULL
206,47,1094,0,997,7,1258,NULL,NULL,NULL,NULL
207,1,4616,11,4847,18,4922,NULL,NULL,NULL,NULL
209,3006,53983,4423,97581,4843,82840,NULL,NULL,NULL,NULL
211,142,19528,279,31275,248,30711,NULL,NULL,NULL,NULL
213,46,11316,78,13477,70,14070,NULL,NULL,NULL,NULL
215,72,9939,92,13592,134,13913,NULL,NULL,NULL,NULL
217,90,17816,856,88995,411,59322,NULL,NULL,NULL,NULL
218,22,6537,27,9492,35,9196,NULL,NULL,NULL,NULL
222,44,7803,47,8881,28,8835,NULL,NULL,NULL,NULL
223,NULL,NULL,0,968,NULL,NULL,NULL,NULL,NULL,NULL
224,284,5676,76,7029,122,6174,NULL,NULL,NULL,NULL
227,3,4665,1,7459,4,7028,NULL,NULL,NULL,NULL
229,117,7873,10,5588,6,6551,NULL,NULL,NULL,NULL
516,585,19390,1071,22565,1090,21498,NULL,NULL,NULL,NULL
517,45584,144903,73514,180719,70388,180150,38700,113662,7259,20205
518,22682,47621,36120,84585,27718,63677,4699,12609,NULL,NULL
1001,7225,32259,9643,54571,7473,43671,7888,18739,11717,20038
1003,12048,78556,17105,182265,14444,140415,10309,49088,5110,18178
1005,11003,24756,12875,27457,13451,29038,12840,24700,20456,32728
1007,3675,15723,5047,22915,4624,20826,4417,14357,7710,22791
1009,598,36459,761,57322,606,51024,835,25449,1181,21456
1011,7160,10596,7666,10914,8564,11714,9679,13462,25362,30196
1013,8397,21680,9095,20947,8732,21399,10985,24560,15373,29030
1015,21074,119761,24382,118572,20810,112249,17936,95878,10757,39115
1017,13894,39191,13257,34215,13943,36583,13863,37828,18660,36056
1019,1550,18760,1208,25989,1330,23988,1685,16303,2606,20226
1021,3633,30612,4230,43643,4200,39593,4075,25693,4759,23187
1023,7319,16839,6012,13859,7027,15922,8857,17870,11503,18483
1025,11827,27702,11336,25833,11989,27867,12744,25738,17311,30987
1027,2268,13703,2066,13932,2238,14254,2016,12400,2648,21006
1029,647,12595,498,14972,523,14123,697,10911,711,13385
1031,6532,38533,8359,49948,8013,43615,6344,30583,5782,26119
1033,9146,54519,8768,54428,9137,54984,8975,46506,9449,24802
1035,6534,15884,6149,13228,6136,14089,8061,17762,10079,21433
1037,3950,11377,3582,11539,4172,12202,3878,10726,6256,16634
1039,4835,36850,4716,37765,4648,37631,5747,35631,8001,32124
1041,3693,14110,3254,13906,3388,13665,4639,14909,7514,23313
1043,528,61642,856,80406,743,77483,514,45572,533,28321
1045,7828,47821,9679,50251,10002,49129,5473,31066,5810,21608
