"county","jail_2014","jail_1970","jail_1980","jail_1990","jail_2000","black_1990","black_2000","black_2014","black_2010","jail_2010"
1001,455.36,0,170.46,175.99,382.46,609.31,339.01,686.62,831.83,441.75
1003,570.08,194.05,219.46,163.48,425.91,497.14,2588.34,1759.37,2042.44,514.72
1005,620.46,52.99,281.63,175.44,442.55,473.98,772.49,112.15,383.44,585.49
1007,456.17,0,185.98,269.67,331.19,826.28,876.14,523.15,625,420.61
1009,363.18,150.13,139.6,136.81,268.63,1136.36,2938.6,1716.07,1404.24,332.75
1011,447.3,157.93,256.16,253.24,370.57,304.38,559.63,472.07,588.15,415.49
1013,581.26,94.98,225.69,230.69,322.98,431.84,653.66,1168.88,939.67,523.7
1015,70.13,104.44,152.37,339.85,437.68,1093.21,1356.93,167.09,1076.67,531.45
1017,670.81,72.93,237.72,444.39,560.88,871.91,869.87,760.58,838.67,638.7
1019,737.37,50.93,194.4,198.8,249.81,481.35,1260.66,1090.91,1792.12,446.85
1021,600.22,112.34,257.97,234.73,648.21,931.08,1495.73,920.75,1957.99,569.23
1023,320.86,159.78,339.29,218.1,335.03,289.1,529.28,238.54,244.85,320.77
1025,1254.7,0,213.74,186.6,340.43,293.95,632.41,1652.78,916.21,647.82
1027,919.46,41.17,255.18,173.85,565.47,900.9,2075.95,1743.74,2327.46,1131.76
1029,772.16,238.56,206.8,136.64,364.09,0,909.09,2352.94,2837.64,757.58
1031,382.42,36.91,155.83,265.06,332.35,950.38,1183.45,1134.87,1238.88,400.67
1033,309.15,59.12,123.6,120.88,208.29,259,605.23,957.5,963.49,299.68
1035,448.21,197.08,167.67,242.11,536.84,613.04,1294.9,581.24,938.6,759.11
1037,522.7,111.45,201.82,575.52,663.9,333.06,882.01,491.4,1848.29,734.27
1039,897.95,97.22,233.12,226.33,518.16,578.63,1506.13,1366.46,1640.04,803.21
1041,565.61,180.69,211.48,150.54,232.42,291.55,581.49,811.91,1350.72,445.93
1043,598.25,95.02,188.32,31.71,35.51,694.44,189.04,6164.38,4831.29,527.32
1045,184.29,41.84,166.26,75,132.08,326.41,421.68,568.78,516.7,173.45
1047,697.66,228,327.13,355.08,625.46,575.83,861.19,705.08,707.54,629.85
1049,28.7,65.73,132.16,140.22,228.34,513.6,472.81,120.92,259.4,8.91
1051,402.01,170.09,97.48,129.25,373.73,342.18,908.68,847.19,674.54,360.69
1053,711,75.57,201.55,250.29,366.62,566.29,1012.65,1072.61,1132.12,604.28
1055,697.3,33.81,132.21,76.55,533.02,325.49,1768.17,1843.69,1015.69,535.1
1057,653.47,204.27,183.66,251.27,365.23,878.95,1213.23,1697.53,968.7,525.79
1059,342.99,80.88,201.14,244.73,356.57,471.9,1022.5,460.83,934.98,375.52
1061,409.84,82.58,168.04,273.1,235.89,930.23,557.18,631.82,644.84,379.03
1063,108.03,72.23,341.32,284.49,476.82,430.39,642.09,549.09,543.25,220.7
1065,401.65,192.56,333.15,180.64,293.07,304.55,341.67,533.38,707.7,538.16
1067,426.04,74.46,194.76,183.64,215.81,340.45,467.47,732.92,732.92,426.04
1069,632.42,174.76,242.99,449.58,465.02,1540.35,805.41,1095.38,1669.25,964.44
1071,65.58,118.8,96.57,124.87,265.03,608.57,2825.3,316.96,78.68,11.57
1073,269.86,231.89,213.29,238.28,324.37,522.9,669.47,431.68,518.45,307.08
1075,774.05,114.97,232.77,287.34,360.64,532.39,1216.14,635.79,825.89,648.21
1077,385.46,77.65,97.88,108.38,329,291.1,1704.81,990.55,925.21,375.58
1079,477.66,130.82,207.11,184.91,342.18,531.7,704.76,231.75,491.09,455.22
1081,358.79,87.59,142.02,204.9,222.41,629.75,841.83,826.18,1075.93,377.2
1083,368.48,91.81,197.51,232.99,351.58,746.08,859.98,613.5,717.67,359.43
1085,888.69,15.14,262.67,297.35,832.65,386.9,824.31,289.91,733.96,991.69
1087,73.49,51.98,119.35,260.97,234.29,210.28,290.62,442.79,341.34,128.76
1089,389.73,113.92,192.48,363.04,389.19,924.64,866.3,786.75,947.83,413.12
1091,480.16,207.82,304.37,381.9,408.19,455.43,758.77,661.38,748.44,488.15
1093,521.13,156.03,147.06,190.08,404.81,833.33,1668.73,753.5,960.45,495.4
1095,156.53,125,157.66,123.5,289.81,402.3,2225.13,378.79,1040.71,287.85
1097,540.11,160.98,225.36,198.25,387.05,538.21,877,920.9,937.03,510.4
1099,276.75,94.11,214.54,223.37,294.16,345.76,618.11,1007.15,767.27,225.68
1101,356.3,166.67,153.34,316.66,392.1,692.37,712.09,414.82,465.09,348.36
1103,721.4,132.27,144.82,181.27,321.29,625.3,1073.48,1708.08,1247.87,592.71
1105,203.73,93.95,242.2,166.35,381.63,231.01,578.99,389.28,497.94,293.81
1107,1476.76,69.54,356.31,299.32,595.05,556.04,978.42,2609.19,2059.45,1240.5
1109,351.8,116,211.88,226.61,327.53,452.88,172.3,687.56,504.24,359.31
1111,425.77,92,82.12,251.36,63.55,589.23,375.82,1574.54,559.21,402.05
1113,833.73,195.12,336.92,349.08,895.68,469,1314.06,949.11,1099.34,830.91
1115,395.74,64.94,154.73,157.79,342.92,441.08,747.46,769.63,768.73,364.17
1117,273.76,174.36,117.01,125,206.96,607.28,784.92,713.42,533.7,277.96
1119,364.12,202.04,408.66,327.9,285.63,275.1,983.86,324.44,298.43,330.79
1121,507.46,92.63,215.98,124.63,394,259.76,776.38,748.35,611.03,458.11
1123,659.38,112.21,174.15,226.63,432.87,648.61,1099.98,1659.86,1529.82,636.29
1125,444.52,103.42,89.54,136.2,492.41,372.42,1181.38,975.16,872.43,459.26
1127,647.3,81.34,118.65,179.33,389.81,1092.48,2018.02,1503.76,1859.43,373.38
1129,547.45,208.13,297.56,190.11,421.59,212.61,735.62,1068.6,1068.6,547.45
1131,712.62,141.19,200.07,351.88,480.61,295.62,444.92,574.71,574.71,712.62
1133,588.74,162.65,148.42,185.77,432.7,2000,2160.49,8275.86,7236.84,468.9
4001,168.85,40.76,51.72,77.55,201.19,1906.16,1494.25,1010.1,1255.23,157.81
4003,248.12,51.91,138.66,182,125.19,236.48,51.06,535.67,432.74,232.75
4005,265.12,123.02,177.9,193.9,223.06,883.98,923.28,612,636.49,359.28
4007,461.72,69,208.06,315.23,324.49,3508.77,1182.8,1652.89,1463.42,431.12
4009,456.01,309.21,56.27,305.97,191.76,821.92,981.48,688.47,682.54,399.79
4011,447.43,15.16,101.97,190.59,209.59,0,0,0,0,473.2
4012,844.38,0,0,458.75,749.67,4126.98,3809.52,2797.2,2228.68,753.05
4013,301.66,191.2,141.35,278.03,325.21,1664.4,1380.6,955.75,859.1,316.97
4015,457.09,260.48,189.89,344.25,298.22,1578.95,1436.27,874.8,414.36,324.86
4017,423.09,107.97,220.92,149.04,145.8,1471.26,1478.95,817.76,1134.91,451.85
4019,320.27,103.35,120.21,227.31,225.02,1258.8,974.46,713.06,552.6,229.35
4021,268.96,123.51,116.49,252.28,377.55,1360.54,1244.21,606.98,745.92,221.48
4023,346.85,110.78,139.11,333.44,250.22,0,0,1470.59,1470.59,346.85
4025,412.37,159.48,154.74,251.91,305.98,1530.61,1279.32,1384.62,1427.86,392.19
4027,434.08,176.57,187.39,373.77,413.18,2683.84,809.54,718.75,1471.67,497.96
5001,706.33,29.35,75.54,130.55,448.73,339.9,1081.45,1629.73,1721.46,729.84
5003,838.51,75.73,61.93,137.22,244.88,357.14,359.62,1780.75,1335.9,623.12
5005,439.02,33.74,68.34,145.48,143.65,0,0,2000,0,331.06
5007,270.53,49.47,49.34,69.49,204.68,800,609.76,1317.2,1085.07,280.9
5009,401.03,71.51,54.68,142.49,144.33,0,0,2040.82,2040.82,304.33
5011,196.64,0,66.56,146.62,198.24,189.13,413.4,308.51,308.51,196.64
5013,580.38,61.75,91.47,157.44,609.53,481.93,1864.41,1302.08,1176.65,601.74
5015,377.18,27.97,38.23,132.61,194.71,0,0,13829.79,0,299.94
5017,128.57,52.36,130.5,171.23,221.64,274.8,226.24,328.2,270.29,137.25
5019,328.93,21.32,50.97,161.95,247.68,349.7,817.91,444.1,401.19,286.3
5021,755.98,0,62.87,239.29,270.59,"null",0,5633.8,5227.27,642.38
5023,527.98,47.66,58.38,162,224.92,0,0,2298.85,0,428.71
5025,75.5,0,0,112.77,98.92,302.52,264.17,141.44,141.44,66.14
5027,462.24,76.39,70.46,158.74,219.74,342.81,508.8,795.13,695.35,419.4
5029,406.23,0,68.77,73.33,354.09,262.34,613.87,191.2,483.56,384.9
5031,375.29,127.5,51.98,199.2,271.93,994.83,1173.54,237.82,1632.6,514.79
5033,221.36,117.56,53.54,144.14,195.5,606.06,825.35,710.9,710.9,210.72
5035,614.16,214.51,215.69,375.48,574.04,817.22,1389.85,1442.52,1442.52,614.16
5037,519.55,72.04,245.52,389.07,371.36,571.65,865.03,1089.92,909.79,460.7
5039,1021.66,85.59,74.47,189.95,563.58,312.64,768.35,2624.43,2519.2,1974.6
5041,311.12,77.68,120.02,105.33,86.86,257.15,219.76,487.28,628.49,343.74
5043,195.97,0,51.64,81.45,319.55,141.84,590.51,308.21,407.68,233.9
5045,249.54,14.63,17.97,138.82,308.37,336.55,854.79,890.3,890.3,249.54
5047,328.48,76.23,75.46,170.04,169.5,0,934.58,757.58,892.86,299.49
5049,195.61,0,0,33.03,83.54,0,0,0,0,123.16
5051,336.61,125.96,118.32,188.2,300.65,792.98,982.58,1072.77,1491.4,359.3
5053,325.76,67.59,41.28,48.07,316.68,0,7726.69,9868.42,9342.1,658.96
5055,582.08,59.84,78.59,67.74,391.75,0,33004.93,1984.13,4716.98,476.23
5057,757.41,45.02,90.28,122.22,358.47,261.85,711.36,1315.48,946.45,598.54
5059,43.49,14.77,20.21,92.23,20.62,341.46,85.43,226.45,226.45,43.49
5061,562,134.69,55.65,34.19,227.52,190.48,668.72,1042.24,999.73,477.17
5063,433.2,35.8,43.05,105.57,391.5,972.97,1651.65,1840.49,1840.49,433.2
5065,559.08,0,35.8,61.8,101.51,0,0,0,0,405.41
5067,578.97,72.18,135.3,188.53,265.54,411.24,322.1,829.88,664.34,449.86
5069,669.84,75.62,72.58,124.05,195.56,260.26,245.16,941.58,681.33,405.76
5071,334.06,62,41.54,97.94,189.93,518.13,512.82,2884.62,4013.38,466.05
5073,554.32,89.8,34.44,189.84,429.37,259.12,754.03,519.33,561.88,497.35
5075,191.54,91.54,56.94,187.71,233.64,2439.02,0,0,0,191.54
5077,208.77,92.05,243.23,161.75,429.87,290.76,426.77,353.26,247.94,151.12
