"county","total_1960","black_1960","total_1910","black_1910","total_2010","black_2010","total_2000","black_2000","total_1980","black_1980"
1001,18739,7888,20038,11717,54571,9643,43671,7473,32259,7225
1003,49088,10309,18178,5110,182265,17105,140415,14444,78556,12048
1005,24700,12840,32728,20456,27457,12875,29038,13451,24756,11003
1007,14357,4417,22791,7710,22915,5047,20826,4624,15723,3675
1009,25449,835,21456,1181,57322,761,51024,606,36459,598
1011,13462,9679,30196,25362,10914,7666,11714,8564,10596,7160
1013,24560,10985,29030,15373,20947,9095,21399,8732,21680,8397
1015,95878,17936,39115,10757,118572,24382,112249,20810,119761,21074
1017,37828,13863,36056,18660,34215,13257,36583,13943,39191,13894
1019,16303,1685,20226,2606,25989,1208,23988,1330,18760,1550
1021,25693,4075,23187,4759,43643,4230,39593,4200,30612,3633
1023,17870,8857,18483,11503,13859,6012,15922,7027,16839,7319
1025,25738,12744,30987,17311,25833,11336,27867,11989,27702,11827
1027,12400,2016,21006,2648,13932,2066,14254,2238,13703,2268
1029,10911,697,13385,711,14972,498,14123,523,12595,647
1031,30583,6344,26119,5782,49948,8359,43615,8013,38533,6532
1033,46506,8975,24802,9449,54428,8768,54984,9137,54519,9146
1035,17762,8061,21433,10079,13228,6149,14089,6136,15884,6534
1037,10726,3878,16634,6256,11539,3582,12202,4172,11377,3950
1039,35631,5747,32124,8001,37765,4716,37631,4648,36850,4835
1041,14909,4639,23313,7514,13906,3254,13665,3388,14110,3693
1043,45572,514,28321,533,80406,856,77483,743,61642,528
1045,31066,5473,21608,5810,50251,9679,49129,10002,47821,7828
1047,56667,32687,53401,43511,43820,30423,46365,29332,53981,29488
1049,41417,819,28261,854,71109,1078,64452,1083,53658,939
1051,30524,10301,28245,13246,79303,15900,65874,13597,43390,9655
1053,33511,10960,18889,5569,38319,12220,38440,11837,38440,11376
1055,96980,14958,39109,6804,104430,15796,103459,15191,103057,13809
1057,16148,2573,16248,1866,17241,1969,18495,2207,18809,2396
1059,21988,1231,19369,1842,31704,1228,31223,1314,28350,1301
1061,22310,3358,26230,4305,26790,2539,25764,2743,24253,3082
1063,13600,11050,22717,19705,9045,7370,9974,8013,11021,8596
1065,19537,13809,27883,21987,15760,9301,17185,10131,15604,9799
1067,15286,6965,20943,10150,17302,4942,16310,5268,15302,5799
1069,50718,13870,32414,9597,101547,26176,88787,21840,74632,16611
1071,36681,2231,32918,3136,53227,1781,53926,2019,51407,2150
1073,634864,219542,226476,90617,658466,276525,662047,260608,671324,223759
1075,14271,2101,17487,3180,14564,1643,15904,1906,16453,1975
1077,61622,7242,30936,7096,92709,9257,87966,8663,80546,7845
1079,24501,5464,21984,6933,34339,3938,34803,4648,30170,5074
1081,49754,18233,32867,19643,140247,31901,115092,26071,76283,18652
1083,36513,7620,26880,10255,82782,10429,65676,8752,46005,6539
1085,15417,12438,31894,28125,11299,8310,13473,9885,13253,9937
1087,26717,22287,26049,22039,21452,17729,24105,20403,26829,22579
1089,117348,21910,47041,18894,334811,80376,276700,63025,196966,39069
1091,27098,16832,39923,30846,21027,10872,22539,11655,25047,13346
1093,21837,727,17495,520,30776,1184,31214,1134,30041,701
1095,48018,1113,28553,1365,93019,1494,82231,1207,65622,1016
1097,314301,100968,80854,34719,412992,142992,399843,133465,364980,114787
1099,22372,11324,27155,15727,23068,9614,24324,9747,22651,9742
1101,169210,64474,82178,56867,229363,125477,223510,108583,197038,77614
1103,60454,7625,33781,8198,119490,14185,111064,12485,90231,8816
1105,17358,11401,31222,24494,10591,7276,11861,8111,15012,9019
1107,21882,9784,25055,12951,19746,8211,20949,8999,21481,8978
1109,25987,10740,30815,14437,32899,12054,29605,10835,28050,9825
1111,19477,4973,24659,5717,22913,4607,22380,4977,20075,4869
1113,46351,22906,25937,20198,52947,22135,49756,20319,47356,18656
1115,25388,4263,20715,3632,83593,7150,64742,5263,41205,4128
1117,32132,6071,26949,7641,195085,20732,143293,10606,66298,6947
1119,20041,15297,28699,23322,13763,10316,14798,10827,16908,11711
1121,65495,20952,37921,18265,82291,26055,80321,25339,73826,22745
1123,35007,10112,31034,11457,41616,11083,41475,10518,38676,10451
1125,109047,31303,47559,19026,194656,57611,164875,48327,137541,37405
1127,54211,5610,37013,6538,67023,3928,70713,4364,68660,4839
1129,15372,5021,14454,6064,17581,4380,18097,4867,16821,4726
1131,18739,14592,33810,27602,11670,8465,13183,9479,14755,10151
1133,14858,77,12855,54,24484,115,24843,94,21953,69
2451,939024,325589,558485,84749,620961,395781,651154,418951,786775,431151
2951,750026,214377,687029,43960,319294,157160,348189,178266,453085,206386
5001,23355,5757,16103,4269,19019,4661,20749,4848,24175,4805
5003,24220,8881,25268,13276,21853,5640,24209,6561,26538,7237
5005,9943,0,10389,7,41513,67,38386,43,27409,26
5007,36272,23,33389,110,221339,2814,153406,629,78115,50
5009,16116,3,14318,7,36903,72,33948,39,26067,2
5011,14029,4919,14518,4641,11508,3173,12600,3607,13803,4022
5013,5991,2108,9894,3413,5368,1192,5744,1343,6079,1706
5015,11284,6,16829,66,27446,103,25357,27,16203,4
5017,18990,10747,21987,17682,11800,6381,14117,7617,17793,9414
5019,20950,5409,23686,7367,22995,5413,23546,5186,23326,5079
5021,21258,3,23690,10,16083,56,17609,33,20616,3
5023,9059,1,11903,7,25970,72,24046,29,16909,4
5025,6944,1704,13481,4334,8689,1059,8571,1133,7868,1194
5027,26400,9504,23820,10869,24552,9059,25603,9232,26644,9242
5029,15430,3423,22729,8298,21273,2385,20336,2654,19505,2974
5031,47303,1584,27627,1328,96443,12640,82148,6395,63239,2876
5033,21318,534,23942,2063,61948,725,53247,465,36892,460
5035,47564,28019,22447,19000,50902,26051,50866,23934,49499,21207
5037,19551,5896,14042,6127,17870,3972,19526,4628,20434,5068
5039,10522,4186,12621,4657,8116,3400,9210,3774,10515,3957
5041,20770,9972,15274,12129,13008,6216,15341,7107,19760,8444
5043,15213,5154,21960,11789,18509,5144,18723,5085,17910,4886
5045,24303,2602,23708,4460,113237,11568,86014,7298,46192,3700
5047,10213,120,20638,382,18125,130,17771,110,14705,154
5049,6657,0,12193,44,12245,40,11642,23,9975,1
5051,46697,4964,27271,4665,96024,7615,88068,6873,70531,5756
5053,8294,569,9425,994,17853,390,16464,406,13008,420
5055,25198,14,23852,40,42090,233,37331,48,30744,5
5057,19661,7329,28285,14100,22609,6646,23587,7160,23635,7062
5059,21893,3193,15022,1960,32923,3568,30353,3115,26819,3014
5061,10878,2260,16898,3498,13789,2846,14300,3126,13459,2486
5063,20048,527,24776,1264,36647,722,34233,697,30147,551
5065,6766,54,14561,242,13696,175,13249,191,10768,3
5067,22843,3466,23501,6203,17997,3000,18418,3235,21646,2887
5069,81373,35365,52734,37692,77435,42639,84278,41788,90718,36825
5071,12421,259,19698,517,25540,364,22781,313,17423,273
5073,11030,4979,13741,7181,7645,2845,8559,3123,10213,4189
5075,17267,147,20001,750,17415,137,17774,79,18447,84
5077,21001,12791,24252,19003,10424,5761,12580,7201,15539,8520
5079,14447,6998,15118,9967,14134,4223,14492,4771,13369,4794
5081,9211,2884,13597,5698,13171,2519,13628,2899,13952,3470
5083,15957,325,26350,640,22353,297,22486,236,20144,307
5085,24551,5849,27983,11268,68356,4075,52828,3404,34518,4218
5087,9068,3,16056,45,15717,28,14243,16,11373,0
5089,6041,1,10203,0,16653,30,16140,20,11334,2
5091,31686,8081,19555,7163,43462,10667,40443,9297,37766,9136
5093,70174,20712,30468,13472,46480,15817,51979,16997,59517,16164
5095,17327,8407,19907,12526,8149,3330,10254,3978,14052,5738
5097,5370,20,12455,304,9487,22,9245,27,7771,11
5099,10700,3857,19344,6790,8997,2764,9955,3104,11097,3398
5101,5963,1,10612,10,8330,9,8608,12,7756,5
5103,31641,12161,21774,12333,26120,10468,28790,11125,30541,11002
5105,4927,157,9402,910,10445,196,10209,177,7266,133
5107,43997,25308,33535,26354,21757,13719,26445,15612,34772,18410
5109,7864,336,12565,918,11291,330,11303,392,10373,414
5111,30834,3236,12791,2121,24583,1775,25614,1825,27032,1868
5113,11981,0,17216,46,20662,65,20229,32,17007,2
5115,21177,674,24527,1867,61754,1784,54469,1423,39021,836
5117,10515,1942,13853,4481,8715,1064,9539,1308,10140,1417
5119,242980,51945,86751,35462,382748,133858,361474,115197,340613,81407
5121,12520,168,18987,515,17969,128,18195,177,16834,155
5123,33303,18891,22548,15508,28258,14667,29329,14375,30858,14190
5125,28956,1856,16657,1833,107118,4994,83529,1838,53161,1458
5127,7297,2,14302,22,11233,53,10996,25,9685,2
5129,8124,0,14825,104,8195,12,8261,3,8847,0
5131,66685,4540,52278,5410,125744,8019,115071,7086,95172,4916
5133,10156,957,16616,2296,17058,734,15757,778,14060,783
5135,6319,0,11688,83,17264,93,17119,84,14607,100
5137,6294,0,8946,94,12394,11,11499,9,9022,7
5139,49518,15034,30723,13747,41639,13721,45629,14587,48573,13970
5141,7228,95,13509,220,17295,68,16192,50,13357,51
5143,55797,466,33889,614,203065,6006,157715,3539,100494,1475
5145,32745,1241,28574,2162,77076,3074,67165,2394,50835,1497
5147,13954,5741,20049,11705,7260,1994,8741,2688,11222,3490
5149,11940,427,26323,1759,22185,307,21139,310,17026,352
5151,91023,10353,15329,4188,139966,30491,128283,28915,103217,23006
5152,17144,1152,6247,1144,17835,1009,17367,967,19042,1122
5153,6300,253,3245,416,6650,347,6349,305,6717,265
5154,29427,5561,6765,2524,43475,8437,45049,10009,39916,7229
5155,NULL,NULL,NULL,NULL,222209,66237,199184,56823,114486,31600
5157,9587,14,NULL,NULL,17411,1783,16897,1059,16509,52
5158,11062,1325,NULL,NULL,5961,746,6303,828,9063,1209
5159,46577,11558,19020,6207,43055,20795,48411,21352,45642,13573
5161,10192,144,NULL,NULL,12332,532,10377,340,9515,223
5162,NULL,NULL,NULL,NULL,8582,4884,8346,4366,7308,4045
5163,13639,2593,5874,1480,24286,5498,19279,3935,15322,3104
5164,5254,342,NULL,NULL,7042,439,6837,428,6524,307
5165,89258,18851,NULL,NULL,137436,68104,146437,65428,122617,42072
5166,11916,720,NULL,NULL,48914,3112,40468,2394,19671,874
5167,17895,2972,NULL,NULL,22591,8367,22354,7484,23397,4661
5168,54790,11109,29494,9466,75568,22140,65269,19382,66743,15807
5169,18798,5691,NULL,NULL,13821,6213,15416,6559,18149,5728
5171,305872,78806,67452,25039,242803,104672,234403,103387,266979,93987
5172,4996,381,NULL,NULL,3958,250,3904,240,4757,249
5173,36750,17351,24127,11014,32420,25646,33740,26643,41055,25080
5174,114773,39290,33190,11617,95535,50878,100565,50899,104577,47185
5175,9371,620,4202,665,16408,1279,15859,1284,13225,860
5176,219958,91972,127628,46733,204214,103342,197790,113108,219214,112357
5177,97110,16527,34874,7924,97032,27612,94911,25380,100220,22040
5179,22232,2201,10604,2476,23746,2885,23853,3328,21857,2461
5181,8091,515,NULL,NULL,437994,85935,425257,80593,262199,26291
5182,15694,976,NULL,NULL,21006,2229,19520,1945,15329,1294
5183,6832,928,NULL,NULL,14068,1968,11998,1601,9870,1031
5184,15110,1183,5864,1038,26203,2864,23585,2470,20217,1795
9001,653589,33614,245322,3516,916829,99317,882567,88362,807143,66155
9003,689555,31715,250182,2934,894014,119191,857183,99936,807766,66350
9005,119856,845,70260,758,189927,2558,182193,1998,156769,1233
9007,88865,1865,45637,367,165676,7727,155071,6856,129017,4810
9009,660315,34122,337282,5634,862477,109850,824008,93239,761337,67488
9011,185745,4566,91253,1431,274055,16025,259088,13703,238409,8953
9013,68737,443,26459,109,152691,5011,136364,3708,114823,1799
9015,68572,279,48361,425,118428,2617,109091,2041,92312,645
10001,65651,9570,32721,7561,162310,38913,126697,26180,98219,17759
10003,307446,36039,123188,15682,538479,127786,500265,101167,398115,60116
10005,73195,15079,46413,7938,197145,25115,156638,23319,98004,17970
11001,763956,411737,331069,94446,601723,305125,572059,343312,638333,448906
12001,74074,19412,34305,19092,247336,50282,217955,42062,151348,28875
12003,7363,1597,4805,1159,27115,3680,22259,3098,15289,2333
12005,67131,9894,NULL,NULL,168852,18180,148217,15772,97740,11681
12007,12446,2876,14090,3987,28520,5823,26088,5423,20023,4077
12009,111435,12334,4717,1399,543376,54799,476230,40000,272959,23832
12011,333946,54816,NULL,NULL,1748066,467519,1623018,333304,1018200,113608
12013,7422,1189,7465,2140,14625,2011,13017,2056,9294,1132
12015,12594,717,NULL,NULL,159978,9089,141627,6219,58460,1115
12017,9268,1647,6731,3635,141236,3987,118085,2791,54703,1769
12019,19535,2652,6116,2453,190865,18831,140814,9439,67052,3470
12021,15753,2280,NULL,NULL,321520,21087,251377,11419,85971,4550
12023,20077,6070,17689,8411,67531,11818,56513,9623,35399,6841
12027,11683,2532,14200,2351,34862,4431,32209,4098,19039,3557
12029,4479,648,NULL,NULL,16422,1386,13827,1241,7751,899
12031,455411,105655,75163,37270,864263,255018,778879,216780,571003,140561
12033,173829,35856,38029,15111,297619,68282,294410,63010,233794,45945
12035,4566,1733,NULL,NULL,95696,10884,49832,4401,10913,1303
12037,6576,1391,5201,2487,11549,1589,11057,1804,7661,1098
12039,41989,24944,22198,14965,46389,25996,45087,25763,41565,24930
12041,2868,328,NULL,NULL,16939,897,14437,1010,5767,364
12043,2950,1013,NULL,NULL,12884,1588,10576,1114,5992,810
12045,9937,2385,NULL,NULL,15863,2962,13332,2259,10658,2139
12047,7705,3425,11825,5533,14799,5102,13327,5027,8761,3309
12049,12370,1138,NULL,NULL,27731,1936,26938,2244,19379,1604
12051,8119,1984,NULL,NULL,39140,5261,36210,5340,18599,3455
12053,11205,2352,4997,2781,172778,8816,130802,5330,44469,2777
12055,21338,4457,NULL,NULL,98786,9263,87366,8155,47526,6567
12057,397788,55498,78374,16445,1229226,205073,998948,149423,646960,86464
12059,10844,452,11557,1194,19927,1147,18564,1208,14723,304
12061,25309,5380,NULL,NULL,138028,12397,112947,9253,59896,7806
12063,36208,11232,29821,14254,49746,13231,46755,12418,39154,10213
12065,9543,5641,17210,13114,14761,5340,12902,4947,10703,5104
12067,2889,344,6710,1361,8870,1411,7022,1009,4035,288
12069,57383,11122,9509,3627,297052,29103,210528,17503,104870,13240
12071,54539,8540,6294,937,618754,51069,440888,29035,205266,16321
12073,74225,24282,19427,14726,275487,83520,239452,69704,148655,36640
12075,10364,3132,10361,4727,40801,3832,34450,3778,19870,3183
12077,3138,478,4700,2111,8365,1497,7021,1294,4260,471
12079,14154,6723,16919,9410,19224,7460,18733,7549,14894,6339
12081,69168,10452,9550,2346,322833,28230,264002,21611,148442,13263
12083,51616,18001,26941,16376,331298,40828,258916,29900,122488,20276
12085,16932,3392,NULL,NULL,146318,7842,126731,6673,64014,4719
12086,NULL,NULL,NULL,NULL,2496435,472976,2253362,457214,NULL,NULL
12087,47921,4770,21563,5842,73090,4194,79589,3795,63188,3808
12089,17189,4287,10525,5553,73314,4668,57663,4465,32894,4530
12091,61175,3972,NULL,NULL,180822,16797,170498,15508,109920,9483
12093,6424,1051,NULL,NULL,39996,3203,35910,2844,20264,1717
12095,263540,39088,19107,7604,1145956,238241,896344,162899,471016,69557
12097,19029,1977,5507,927,268685,30369,172493,12702,49287,3012
12099,228106,51953,5577,2220,1320134,228690,1131184,156055,576863,77576
12101,36785,4065,7502,2456,464697,20700,344765,7148,193643,4018
12103,374665,33088,NULL,NULL,916542,94745,921482,82556,728531,55206
12105,195139,35960,24148,7419,602095,88833,483924,65545,321652,48275
12107,32212,10010,13096,6804,74364,12030,70423,12003,50549,10358
12109,30034,8213,13208,5454,190039,10684,123135,7744,51303,7464
12111,39294,12732,4075,865,277789,53036,192695,29714,87182,19032
12113,29547,2018,14897,4234,151372,8205,117743,5000,55988,2501
12115,76895,7412,NULL,NULL,379448,17815,325957,13621,202251,10457
12117,54947,13500,NULL,NULL,422718,47107,365196,34764,179752,18026
12119,11869,3053,6696,2255,93420,9022,53345,7351,24272,4587
12121,14961,4064,18603,7813,41551,4754,34844,4221,22287,3927
12123,13168,3234,7103,2689,22570,4669,19256,3666,16532,3521
12125,6043,1616,NULL,NULL,15535,3449,13442,3070,10166,2965
12127,125319,21048,16510,6592,494593,51791,443343,41198,258762,28883
12129,5257,1500,4802,2384,30776,4464,22863,2631,10887,1786
12131,15576,2107,16460,4997,55043,3178,40601,2832,21300,2051
12133,11249,2175,16403,4965,24896,3745,20973,2872,14509,2282
13001,13246,3042,12318,2863,18236,3392,17419,3412,15565,3137
13003,6188,1777,NULL,NULL,8375,1453,7609,1492,6141,1691
13005,8359,1086,NULL,NULL,11096,1704,10103,1586,9379,1394
13007,4543,2674,7973,5718,3451,1613,4074,2053,3808,1898
13009,34064,13481,18354,11005,45720,18965,44700,19392,34686,12980
13011,6497,426,11244,2321,18395,427,14422,464,8702,433
13013,14485,2557,NULL,NULL,69367,7889,46144,4483,21354,3145
13015,28267,4279,25388,6348,100157,10178,76019,6600,40760,4720
13017,13633,4548,11863,4901,17634,6104,17484,5706,16000,4833
13019,12038,1842,22772,6263,19286,2063,16235,1856,13525,1691
13021,141249,47131,56646,27481,155547,81116,153887,72818,150256,58069
13023,9642,2744,NULL,NULL,13063,3564,11666,2869,10767,2367
13025,5891,773,NULL,NULL,18411,538,14629,582,8701,569
13027,15292,7452,23832,14086,16243,5729,16450,6472,15255,6797
13029,6226,2298,6702,3337,30233,4286,23417,3311,10175,2190
13031,24263,8947,26464,10591,70217,19409,55983,16101,35785,9556
13033,20596,13681,27268,22462,23316,11533,22243,11343,19349,10385
13035,8976,4183,13624,7200,23655,6469,19522,5627,13665,5353
13037,7341,4779,11334,8361,6694,4105,6320,3830,5717,3285
13039,9975,3973,7690,5113,50513,9799,43664,8783,13371,4290
13043,6672,2361,NULL,NULL,10998,2683,9577,2593,7518,2410
13045,36451,6987,30855,6383,110527,20089,87268,14241,56346,9679
13047,21101,307,7184,476,63942,1392,53282,669,36991,289
13049,5313,1697,4722,1189,12171,3464,10282,3008,7343,2161
13051,188299,63930,79690,43981,265128,106392,232048,93971,202226,77310
13053,13011,2277,5586,3864,11267,2123,14882,4453,21732,7048
13055,19954,1838,13608,2454,26015,2899,25470,2856,21856,1887
13057,23001,902,16661,1168,214346,12117,141903,3525,51699,1116
13059,45363,11522,23273,11767,116714,30988,101489,27656,74498,17568
13061,4551,2837,8960,6569,3183,1923,3357,2030,3553,2208
13063,46365,4745,10453,4632,259424,171480,236517,121927,150357,10494
13065,6545,2471,8424,3378,6798,1886,6878,2029,6660,1958
13067,114174,8032,28397,7418,688078,171774,607751,114233,297718,13055
13069,21953,5979,21953,7734,42356,11283,37413,9684,26894,6823
13071,34048,8211,19789,4617,45498,10210,42053,9869,35376,8279
13073,13423,4770,12328,9198,124053,18439,89288,10011,40118,5891
13075,11822,3484,NULL,NULL,17212,4704,15771,4587,13490,4090
13077,28893,10464,28800,16267,127317,22029,89215,16032,39268,10703
13079,5816,3363,8310,4922,12630,2818,12495,2974,7684,3047
13081,17768,7619,16423,8616,23439,10079,21996,9547,19489,7645
13083,8666,135,4139,291,16633,145,15154,96,12318,109
13085,3590,1,4686,152,22330,105,15999,57,4774,0
13087,25203,10479,29045,16738,27842,11438,28240,11270,25495,9921
13089,256782,22171,27881,8362,691893,375725,665865,361111,483024,130980
13091,16483,4584,20127,8460,21796,6504,19171,5637,16955,4492
13093,11474,6027,20554,12728,14918,7442,11525,5709,10826,5278
13095,75680,25922,16035,12049,94565,63470,96065,57762,100718,43080
13097,16741,2479,8953,2171,132403,52290,92174,17065,54573,2818
13099,13151,6822,18122,11273,11008,5462,12354,5947,13158,5681
13101,1876,519,3309,990,4034,171,3754,260,2297,381
13103,10144,3501,9971,4278,52250,7048,37535,4876,18327,3418
13105,17835,6108,24125,12082,20166,5950,20511,6328,18758,5767
13107,17815,5900,25140,9990,22598,7562,21837,7267,20795,6591
13109,6952,2583,NULL,NULL,11000,3205,10495,3461,8428,2927
13111,13620,44,12574,162,23682,83,19798,24,14748,7
13113,8199,2431,10966,3815,106567,21395,91263,10465,29043,1276
13115,69130,9914,36736,10482,96317,13640,90565,12050,79800,10253
13117,12170,4,11940,1098,175511,4510,98407,684,27958,1
13119,13274,1528,17894,3974,22084,1850,20285,1792,15185,1533
13121,556326,193024,177733,57985,920581,405575,816006,363656,589904,303508
13123,8922,8,9237,71,28292,135,23456,63,11110,22
13125,2672,763,4669,1507,3082,253,2556,212,2382,389
13127,41954,11598,15720,9774,79626,20726,67568,17874,54981,14500
13129,19228,1208,15861,1356,55186,2005,44104,1527,30070,1322
13131,18015,6661,18457,7403,25011,7176,23659,7133,19845,6284
13133,11193,5873,18512,11636,15994,6105,14406,6403,11391,5992
13135,43541,3502,28824,4431,805321,190167,588448,78224,166903,4094
13137,18116,913,10134,711,43041,1444,35902,1610,25020,1321
13139,49739,5356,25730,4030,179684,13279,139277,10126,75649,6821
13141,9979,7459,19189,14268,9429,6983,10076,7835,9466,7406
13143,14543,1193,13514,2027,28780,1353,25690,1388,18422,1338
13145,11167,6107,17886,12865,32024,5506,23695,4614,15464,5303
13147,15229,3727,16216,5080,25213,4710,22997,4452,18585,4126
13149,5333,1226,11189,3756,11834,1159,11012,1192,6520,1118
13151,17619,7495,19927,10184,203922,75277,119341,17523,36309,6363
13153,39154,8761,23609,17388,139900,39998,110765,27422,77605,15887
13155,9211,3433,10461,4916,9538,2472,9931,2570,8988,2783
13157,18499,2368,30169,8613,60485,4103,41589,3234,25343,2750
13159,6135,3303,16552,11484,13900,3037,11426,3115,7553,3045
13161,8914,1824,6050,1593,15068,2224,12684,1920,11473,1824
13163,17468,9878,21379,12979,16930,9213,17266,9717,18403,10058
13165,9148,4542,11520,7296,8340,3380,8575,3472,8841,3640
13167,8048,2675,12897,5557,9980,3489,8560,3164,8660,2768
13169,8468,4255,13103,9288,28669,7008,23639,5506,16579,5013
13171,10240,4048,NULL,NULL,18317,5650,15912,4836,12215,4219
13173,5097,1543,NULL,NULL,10078,2390,7241,1856,5654,1391
13175,32313,12026,35501,17544,48434,17324,44874,15494,36990,12190
13177,6204,3889,11679,9992,28298,5268,24757,3838,11684,2779
13179,14487,6096,12924,8355,63453,26805,61610,26396,37583,13748
13181,5906,2893,8714,5175,7996,2570,8348,2869,6716,2850
13183,3874,1277,NULL,NULL,14464,3647,10304,2499,4524,1162
13185,49270,15927,24436,12955,109233,39142,92115,31309,67972,20604
13187,7241,127,5444,320,29966,340,21016,307,10762,232
13189,12627,5352,10325,5985,21875,8706,21231,7966,18546,6705
13191,6364,3690,6442,4978,14333,5149,10847,3993,8046,3633
13193,13170,8297,15016,10581,14740,8933,14074,8371,14003,7856
13195,11246,2088,16851,5149,28120,2355,25730,2176,17747,1942
13197,5477,3289,9147,5364,8742,2856,7144,2434,5297,2450
13199,19756,9777,25180,14730,21992,8605,22534,9512,21229,9560
13201,6908,2032,7986,3257,6125,1720,6383,1845,7038,2006
