"point_id","x","y","total_1860","total_1830","slaves_1830","total_1790","slaves_1790","slaves_1860","free_blacks_1860","total_1910","black_1910","total_1970","jail_1970","black_1970","total_2010","black_2010","jail_2010","jail_black_2010","total_2014","total_prison_2014","black_2014","jail_2014","jail_black_2014","prison_2014"
12638,1338107.731,-1333537.971,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8497,-2198880.709,-86685.9313,0.0811405,0,0,0,0,0,0,1.0088646,0.0039281,2.113399983,0.002986,0.0143246,0.0056226,0,0.0000171,0,0,0,0,0,0,0
8658,-2122542.829,-112131.8913,0.5679835,0,0,0,0,0,0,7.0620527,0.0274967,14.79379845,0.020901999,0.100272201,0.039358199,0,0.0001197,0,0,0,0,0,0,0
10632,-1639069.589,-468375.3313,1.0385859,0,0,0,0,0,0.003366,2.543541,0.0355245,20.00724411,0.0353265,0.654881716,0,0,0,0,0,0,0,0,0,0
9115,-2097096.869,-188469.7713,0.8114051,0,0,0,0,0,0,10.0886459,0.039281,21.13399887,0.029859999,0.143245995,0.056226004,0,0.000171,0,0,0,0,0,0,0
8654,-2224326.669,-112131.8913,2.8399177,0,0,0,0,0,0,35.3102608,0.1374835,73.96899414,0.104509994,0.501361013,0.196791008,0,0.0005985,0,0,0,0,0,0,0
6603,-1791745.349,218665.5887,10.684,0,0,0,0,0,0,103.4179993,1.01875,77.06800079,0.129500002,0.564249992,0,0,0,0,0,0,0,0,0,0
6763,-1791745.349,193219.6287,8.0481215,0,0,0,0,0,0,103.4179993,1.01875,77.06800079,0.129500002,0.564249992,0,0,0,0,0,0,0,0,0,0
6764,-1766299.389,193219.6287,8.733016,0,0,0,0,0,0,103.4179993,1.01875,77.06800079,0.129500002,0.564249992,0,0,0,0,0,0,0,0,0,0
6923,-1791745.349,167773.6687,7.6695004,0,0,0,0,0,0,103.4179993,1.01875,77.06800079,0.129500002,0.564249992,0,0,0,0,0,0,0,0,0,0
6924,-1766299.389,167773.6687,7.6695004,0,0,0,0,0,0,103.4179993,1.01875,77.06800079,0.129500002,0.564249992,0,0,0,0,0,0,0,0,0,0
7083,-1766299.389,142327.7087,19.3722878,0,0,0,0,0,0.0062913,103.4179993,1.01875,77.06800079,0.129500002,0.564249992,0,0,0,0,0,0,0,0,0,0
7242,-1766299.389,116881.7487,101.1422501,0,0,0,0,0,0.05025,103.4179993,1.01875,77.06800079,0.129500002,0.564249992,0,0,0,0,0,0,0,0,0,0
8812,-2147988.789,-137577.8513,3.4890416,0,0,0,0,0,0,43.3811798,0.1689083,90.87619781,0.128398001,0.615957797,0.241771787,0,0.0007353,0,0,0,0,0,0,0
10381,-1715407.469,-417483.4113,6.9239058,0,0,0,0,0,0.02244,16.9569397,0.23683,133.3816223,0.235509992,4.365878105,0,0,0,0,0,0,0,0,0,0
