"point_id","x","y","slaves_1860","slaves_1850","slaves_1840","slaves_1830","slaves_1820","slaves_1810","slaves_1800","slaves_1790","peak_slave","peak_year","total_1790","total_1800","total_1810","total_1820","total_1830","total_1840","total_1850","total_1860","total_1870"
1,-1969867,1567301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217041,0.61826,0.979931
2,-1944421,1567301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.358589,1.02147,1.61902
3,-2122543,1541856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.401054,1.12197,3.07224
4,-2097097,1541856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141548,0.395989,1.08432
5,-1995313,1541856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217041,0.61826,22.7017
6,-1969867,1541856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.764362,2.17735,25.645
7,-1944421,1541856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.16235,20.4026,32.3377
8,-1918975,1541856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.68081,16.1823,25.6486
9,-1893529,1541856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44906,9.82496,15.5724
10,-1868083,1541856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29189,3.8574,6.11392
11,-1842637,1541856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0253827,0.094083,0.14912
12,-2122543,1516410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94893,8.24977,22.59
13,-2097097,1516410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.17124,14.4668,39.6138
14,-2071651,1516410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.363308,1.01637,2.78309
15,-1995313,1516410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.30724,6.57237,241.329
16,-1969867,1516410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.08576,8.79004,234.927
17,-1944421,1516410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.73715,13.4942,21.3881
18,-1918975,1516410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.54925,21.5047,34.0846
19,-1893529,1516410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.54925,21.5047,34.0846
20,-1868083,1516410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.62198,21.5047,34.0846
21,-1842637,1516410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.27597,19.5558,30.9956
22,-1817191,1516410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.72762,11.5083,13.1245
23,-1791745,1516410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19379,5.39835,2.49928
24,-1766299,1516410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.659949,1.62397,0.751848
25,-2122543,1490964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.45878,12.9839,35.0024
26,-2097097,1490964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.54925,21.1194,57.8303
27,-2071651,1490964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.96391,16.6843,45.686
28,-2046205,1490964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.76491,7.73499,21.1804
29,-2020759,1490964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0754925,0.211194,0.578303
30,-1995313,1490964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0141548,0.0403213,1.48054
31,-1969867,1490964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.06688,11.1407,202.847
32,-1944421,1490964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.75658,19.2467,30.5057
33,-1918975,1490964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.54925,21.5047,34.0846
34,-1893529,1490964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.54925,21.5047,34.0846
35,-1868083,1490964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13487,21.5047,34.0846
36,-1842637,1490964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.80175,21.5047,34.0846
37,-1817191,1490964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.80175,17.5564,19.0764
38,-1791745,1490964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.80175,14.2766,6.60966
39,-1766299,1490964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.80175,14.2766,6.60966
40,-1740853,1490964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.97863,12.2511,5.67191
