x,y,lightness
226,4,0.57
225,5,0.78
224,6,0.58
225,6,0.9
224,7,0.87
225,7,0.78
223,8,0.65
224,8,0.72
225,8,0.73
222,9,0.52
223,9,0.54
224,9,0.55
225,9,0.59
222,10,0.77
224,10,0.62
225,10,0.53
221,11,0.74
224,11,0.82
225,11,0.5
220,12,0.59
221,12,0.64
224,12,0.88
220,13,0.83
224,13,0.89
219,14,0.84
223,14,0.61
224,14,0.92
218,15,0.72
219,15,0.68
223,15,0.78
224,15,0.89
217,16,0.65
218,16,0.86
223,16,0.85
224,16,0.8
217,17,0.78
218,17,0.59
223,17,0.89
224,17,0.77
217,18,0.73
223,18,0.87
224,18,0.7
217,19,0.69
222,19,0.51
223,19,0.93
224,19,0.66
217,20,0.67
222,20,0.5
223,20,0.92
224,20,0.61
217,21,0.68
222,21,0.65
223,21,0.93
217,22,0.75
222,22,0.92
223,22,0.85
217,23,0.72
221,23,0.76
222,23,0.94
217,24,0.68
221,24,0.95
222,24,0.66
217,25,0.72
220,25,0.78
221,25,0.89
195,26,0.6
196,26,0.66
197,26,0.65
198,26,0.6
199,26,0.54
200,26,0.54
217,26,0.75
219,26,0.51
220,26,0.99
221,26,0.58
188,27,0.6
189,27,0.67
190,27,0.82
191,27,0.89
192,27,0.89
193,27,0.9
194,27,0.9
195,27,0.9
196,27,0.9
197,27,0.91
198,27,0.92
199,27,0.92
200,27,0.86
201,27,0.92
202,27,0.96
203,27,0.92
204,27,0.83
205,27,0.74
206,27,0.55
217,27,0.67
219,27,0.79
220,27,0.89
143,28,0.59
144,28,0.69
145,28,0.71
146,28,0.71
147,28,0.67
148,28,0.61
149,28,0.56
184,28,0.72
185,28,0.82
186,28,0.81
187,28,0.88
188,28,0.92
189,28,0.88
190,28,0.88
191,28,0.88
192,28,0.85
193,28,0.87
194,28,0.89
195,28,0.9
196,28,0.91
197,28,0.9
198,28,0.89
199,28,0.88
200,28,0.9
201,28,0.89
202,28,0.84
203,28,0.78
204,28,0.8
205,28,0.91
206,28,0.94
207,28,0.89
208,28,0.87
209,28,0.62
217,28,0.62
218,28,0.5
219,28,0.99
220,28,0.55
136,29,0.6
137,29,0.7
138,29,0.76
139,29,0.8
140,29,0.85
141,29,0.86
142,29,0.83
143,29,0.8
144,29,0.85
145,29,0.87
146,29,0.88
147,29,0.88
148,29,0.89
149,29,0.9
150,29,0.89
151,29,0.87
152,29,0.93
153,29,0.91
154,29,0.87
155,29,0.85
156,29,0.88
157,29,0.91
158,29,0.89
159,29,0.85
160,29,0.86
161,29,0.87
162,29,0.9
163,29,0.92
164,29,0.87
165,29,0.8
166,29,0.79
167,29,0.83
168,29,0.81
169,29,0.84
170,29,0.84
171,29,0.83
172,29,0.83
173,29,0.83
174,29,0.78
175,29,0.71
176,29,0.6
177,29,0.62
178,29,0.68
179,29,0.76
180,29,0.81
181,29,0.85
182,29,0.89
183,29,0.92
184,29,0.89
185,29,0.91
186,29,0.88
187,29,0.86
188,29,0.84
189,29,0.88
190,29,0.87
191,29,0.89
192,29,0.9
193,29,0.89
194,29,0.87
195,29,0.87
196,29,0.87
197,29,0.87
198,29,0.88
199,29,0.9
200,29,0.92
201,29,0.88
202,29,0.86
203,29,0.91
204,29,0.94
205,29,0.87
206,29,0.84
207,29,0.9
208,29,0.83
209,29,0.8
210,29,0.92
211,29,0.98
212,29,0.83
213,29,0.7
214,29,0.54
216,29,0.58
217,29,0.77
218,29,0.8
219,29,0.93
133,30,0.7
134,30,0.84
135,30,0.92
136,30,0.8
137,30,0.81
138,30,0.73
139,30,0.65
140,30,0.68
141,30,0.74
142,30,0.72
143,30,0.68
144,30,0.84
145,30,0.84
146,30,0.83
147,30,0.83
148,30,0.85
149,30,0.88
150,30,0.88
151,30,0.87
152,30,0.86
153,30,0.87
154,30,0.86
155,30,0.85
156,30,0.87
157,30,0.9
158,30,0.89
159,30,0.86
160,30,0.89
161,30,0.88
162,30,0.85
163,30,0.83
164,30,0.85
165,30,0.89
166,30,0.9
167,30,0.89
168,30,0.89
169,30,0.9
170,30,0.89
171,30,0.87
172,30,0.86
173,30,0.86
174,30,0.85
175,30,0.84
176,30,0.91
177,30,0.89
178,30,0.89
179,30,0.9
180,30,0.9
181,30,0.87
182,30,0.85
183,30,0.86
184,30,0.89
185,30,0.9
186,30,0.95
187,30,0.89
188,30,0.81
189,30,0.92
190,30,0.86
191,30,0.87
192,30,0.89
193,30,0.88
194,30,0.88
195,30,0.89
196,30,0.9
197,30,0.91
198,30,0.93
199,30,0.95
200,30,0.89
201,30,0.96
202,30,0.81
203,30,0.65
204,30,0.75
205,30,0.9
206,30,0.9
207,30,0.88
208,30,0.82
209,30,0.84
210,30,0.85
211,30,0.85
212,30,0.86
213,30,0.92
214,30,0.95
215,30,0.92
216,30,0.84
217,30,0.9
218,30,0.92
219,30,0.64
129,31,0.63
130,31,0.76
131,31,0.83
132,31,0.87
133,31,0.87
134,31,0.81
135,31,0.78
136,31,0.77
137,31,0.74
138,31,0.69
139,31,0.69
140,31,0.76
141,31,0.76
142,31,0.69
143,31,0.64
144,31,0.9
145,31,0.89
146,31,0.87
147,31,0.86
148,31,0.87
149,31,0.88
150,31,0.87
151,31,0.84
152,31,0.87
153,31,0.9
154,31,0.9
155,31,0.87
156,31,0.86
157,31,0.88
158,31,0.87
159,31,0.85
160,31,0.75
161,31,0.86
162,31,0.9
163,31,0.83
164,31,0.8
165,31,0.84
166,31,0.89
167,31,0.87
168,31,0.82
169,31,0.85
170,31,0.89
171,31,0.89
172,31,0.87
173,31,0.85
174,31,0.86
175,31,0.87
176,31,0.91
177,31,0.88
178,31,0.87
179,31,0.88
180,31,0.87
181,31,0.84
182,31,0.81
183,31,0.82
184,31,0.89
185,31,0.86
186,31,0.91
187,31,0.79
188,31,0.67
189,31,0.86
190,31,0.83
191,31,0.89
192,31,0.89
193,31,0.88
194,31,0.88
195,31,0.9
196,31,0.9
197,31,0.89
198,31,0.89
199,31,0.91
200,31,0.76
201,31,0.87
202,31,0.7
203,31,0.55
204,31,0.75
205,31,0.93
206,31,0.86
207,31,0.76
208,31,0.76
209,31,0.91
210,31,0.92
211,31,0.87
212,31,0.92
213,31,0.91
214,31,0.85
215,31,0.86
216,31,0.9
217,31,0.87
218,31,0.88
126,32,0.75
127,32,0.88
128,32,0.93
129,32,0.8
130,32,0.76
131,32,0.84
132,32,0.74
133,32,0.75
134,32,0.77
135,32,0.78
136,32,0.73
137,32,0.7
138,32,0.64
139,32,0.72
140,32,0.61
141,32,0.66
142,32,0.63
143,32,0.8
144,32,0.86
145,32,0.86
146,32,0.85
147,32,0.9
148,32,0.85
149,32,0.85
150,32,0.86
151,32,0.85
152,32,0.74
153,32,0.86
154,32,0.85
155,32,0.89
156,32,0.84
157,32,0.79
158,32,0.92
159,32,0.83
160,32,0.8
161,32,0.78
162,32,0.91
163,32,0.87
164,32,0.76
165,32,0.85
166,32,0.89
167,32,0.87
168,32,0.83
169,32,0.79
170,32,0.9
171,32,0.9
172,32,0.92
173,32,0.83
174,32,0.81
175,32,0.9
176,32,0.76
177,32,0.78
178,32,0.84
179,32,0.92
180,32,0.81
181,32,0.8
182,32,0.74
183,32,0.74
184,32,0.85
185,32,0.83
186,32,0.98
187,32,0.78
188,32,0.54
189,32,0.89
190,32,0.85
191,32,0.89
192,32,0.77
193,32,0.83
194,32,0.81
195,32,0.92
196,32,0.93
197,32,0.89
198,32,0.87
199,32,0.9
200,32,0.55
201,32,0.7
202,32,0.74
203,32,0.62
204,32,0.7
205,32,0.79
206,32,0.91
207,32,0.88
208,32,0.9
209,32,0.84
210,32,0.92
211,32,0.96
212,32,0.87
213,32,0.84
214,32,0.89
215,32,0.86
216,32,0.87
217,32,0.91
218,32,0.92
125,33,0.86
126,33,0.79
127,33,0.81
128,33,0.8
129,33,0.79
130,33,0.78
131,33,0.81
132,33,0.72
133,33,0.71
134,33,0.63
135,33,0.55
136,33,0.56
137,33,0.52
138,33,0.71
139,33,0.72
140,33,0.71
141,33,0.74
142,33,0.73
143,33,0.92
144,33,0.93
145,33,0.87
146,33,0.92
147,33,0.7
148,33,0.84
149,33,0.88
150,33,0.91
151,33,0.86
152,33,0.88
153,33,0.78
154,33,0.9
155,33,0.8
156,33,0.73
157,33,0.8
158,33,0.88
159,33,0.85
160,33,0.89
161,33,0.92
162,33,0.87
163,33,0.84
164,33,0.94
165,33,0.93
166,33,0.86
167,33,0.9
168,33,0.88
169,33,0.83
170,33,0.91
171,33,0.82
172,33,0.87
173,33,0.93
174,33,0.65
175,33,0.63
176,33,0.77
