"county","jail_2014","jail_1970","jail_1980","jail_1990","jail_2000"
1001,455.36,0,170.46,175.99,382.46
1003,570.08,194.05,219.46,163.48,425.91
1005,620.46,52.99,281.63,175.44,442.55
1007,456.17,0,185.98,269.67,331.19
1009,363.18,150.13,139.6,136.81,268.63
1011,447.3,157.93,256.16,253.24,370.57
1013,581.26,94.98,225.69,230.69,322.98
1015,70.13,104.44,152.37,339.85,437.68
1017,670.81,72.93,237.72,444.39,560.88
1019,737.37,50.93,194.4,198.8,249.81
1021,600.22,112.34,257.97,234.73,648.21
1023,320.86,159.78,339.29,218.1,335.03
1025,1254.7,0,213.74,186.6,340.43
1027,919.46,41.17,255.18,173.85,565.47
1029,772.16,238.56,206.8,136.64,364.09
1031,382.42,36.91,155.83,265.06,332.35
1033,309.15,59.12,123.6,120.88,208.29
1035,448.21,197.08,167.67,242.11,536.84
1037,522.7,111.45,201.82,575.52,663.9
1039,897.95,97.22,233.12,226.33,518.16
1041,565.61,180.69,211.48,150.54,232.42
1043,598.25,95.02,188.32,31.71,35.51
1045,184.29,41.84,166.26,75,132.08
1047,697.66,228,327.13,355.08,625.46
1049,28.7,65.73,132.16,140.22,228.34
1051,402.01,170.09,97.48,129.25,373.73
1053,711,75.57,201.55,250.29,366.62
1055,697.3,33.81,132.21,76.55,533.02
1057,653.47,204.27,183.66,251.27,365.23
1059,342.99,80.88,201.14,244.73,356.57
1061,409.84,82.58,168.04,273.1,235.89
1063,108.03,72.23,341.32,284.49,476.82
1065,401.65,192.56,333.15,180.64,293.07
1067,426.04,74.46,194.76,183.64,215.81
1069,632.42,174.76,242.99,449.58,465.02
1071,65.58,118.8,96.57,124.87,265.03
1073,269.86,231.89,213.29,238.28,324.37
1075,774.05,114.97,232.77,287.34,360.64
1077,385.46,77.65,97.88,108.38,329
1079,477.66,130.82,207.11,184.91,342.18
1081,358.79,87.59,142.02,204.9,222.41
1083,368.48,91.81,197.51,232.99,351.58
1085,888.69,15.14,262.67,297.35,832.65
1087,73.49,51.98,119.35,260.97,234.29
1089,389.73,113.92,192.48,363.04,389.19
1091,480.16,207.82,304.37,381.9,408.19
1093,521.13,156.03,147.06,190.08,404.81
1095,156.53,125,157.66,123.5,289.81
1097,540.11,160.98,225.36,198.25,387.05
1099,276.75,94.11,214.54,223.37,294.16
1101,356.3,166.67,153.34,316.66,392.1
1103,721.4,132.27,144.82,181.27,321.29
1105,203.73,93.95,242.2,166.35,381.63
1107,1476.76,69.54,356.31,299.32,595.05
1109,351.8,116,211.88,226.61,327.53
1111,425.77,92,82.12,251.36,63.55
1113,833.73,195.12,336.92,349.08,895.68
1115,395.74,64.94,154.73,157.79,342.92
1117,273.76,174.36,117.01,125,206.96
1119,364.12,202.04,408.66,327.9,285.63
1121,507.46,92.63,215.98,124.63,394
1123,659.38,112.21,174.15,226.63,432.87
1125,444.52,103.42,89.54,136.2,492.41
1127,647.3,81.34,118.65,179.33,389.81
1129,547.45,208.13,297.56,190.11,421.59
1131,712.62,141.19,200.07,351.88,480.61
1133,588.74,162.65,148.42,185.77,432.7
5001,706.33,29.35,75.54,130.55,448.73
5003,838.51,75.73,61.93,137.22,244.88
5005,439.02,33.74,68.34,145.48,143.65
