"county","pop_2010","pop_1960","pop_1910"
1001,0.18,0.42,0.58
1003,0.09,0.21,0.28
1005,0.47,0.52,0.63
1007,0.22,0.31,0.34
1009,0.01,0.03,0.06
1011,0.7,0.72,0.84
1013,0.43,0.45,0.53
1015,0.21,0.19,0.28
1017,0.39,0.37,0.52
1019,0.05,0.1,0.13
1021,0.1,0.16,0.21
1023,0.43,0.5,0.62
1025,0.44,0.5,0.56
1027,0.15,0.16,0.13
1029,0.03,0.06,0.05
1031,0.17,0.21,0.22
1033,0.16,0.19,0.38
1035,0.46,0.45,0.47
1037,0.31,0.36,0.38
1039,0.12,0.16,0.25
1041,0.23,0.31,0.32
1043,0.01,0.01,0.02
1045,0.19,0.18,0.27
1047,0.69,0.58,0.81
1049,0.02,0.02,0.03
1051,0.2,0.34,0.47
1053,0.32,0.33,0.29
1055,0.15,0.15,0.17
1057,0.11,0.16,0.11
1059,0.04,0.06,0.1
1061,0.09,0.15,0.16
1063,0.81,0.81,0.87
1065,0.59,0.71,0.79
1067,0.29,0.46,0.48
1069,0.26,0.27,0.3
1071,0.03,0.06,0.1
1073,0.42,0.35,0.4
1075,0.11,0.15,0.18
1077,0.1,0.12,0.23
1079,0.11,0.22,0.32
1081,0.23,0.37,0.6
1083,0.13,0.21,0.38
1085,0.74,0.81,0.88
1087,0.83,0.83,0.85
1089,0.24,0.19,0.4
1091,0.52,0.62,0.77
1093,0.04,0.03,0.03
1095,0.02,0.02,0.05
1097,0.35,0.32,0.43
1099,0.42,0.51,0.58
1101,0.55,0.38,0.69
1103,0.12,0.13,0.24
1105,0.69,0.66,0.78
1107,0.42,0.45,0.52
1109,0.37,0.41,0.47
1111,0.2,0.26,0.23
1113,0.42,0.49,0.78
1115,0.09,0.17,0.18
1117,0.11,0.19,0.28
1119,0.75,0.76,0.81
1121,0.32,0.32,0.48
1123,0.27,0.29,0.37
1125,0.3,0.29,0.4
1127,0.06,0.1,0.18
1129,0.25,0.33,0.42
1131,0.73,0.78,0.82
1133,0,0.01,0
2451,0.64,0.35,0.15
2951,0.49,0.29,0.06
5001,0.25,0.25,0.27
5003,0.26,0.37,0.53
5005,0,0,0
5007,0.01,0,0
5009,0,0,0
5011,0.28,0.35,0.32
5013,0.22,0.35,0.34
5015,0,0,0
5017,0.54,0.57,0.8
5019,0.24,0.26,0.31
5021,0,0,0
5023,0,0,0
5025,0.12,0.25,0.32
5027,0.37,0.36,0.46
5029,0.11,0.22,0.37
5031,0.13,0.03,0.05
5033,0.01,0.03,0.09
5035,0.51,0.59,0.85
5037,0.22,0.3,0.44
5039,0.42,0.4,0.37
5041,0.48,0.48,0.79
5043,0.28,0.34,0.54
5045,0.1,0.11,0.19
5047,0.01,0.01,0.02
5049,0,0,0
5051,0.08,0.11,0.17
5053,0.02,0.07,0.11
5055,0.01,0,0
5057,0.29,0.37,0.5
5059,0.11,0.15,0.13
5061,0.21,0.21,0.21
5063,0.02,0.03,0.05
5065,0.01,0.01,0.02
5067,0.17,0.15,0.26
5069,0.55,0.43,0.71
5071,0.01,0.02,0.03
5073,0.37,0.45,0.52
5075,0.01,0.01,0.04
5077,0.55,0.61,0.78
5079,0.3,0.48,0.66
5081,0.19,0.31,0.42
5083,0.01,0.02,0.02
5085,0.06,0.24,0.4
5087,0,0,0
5089,0,0,0
5091,0.25,0.26,0.37
5093,0.34,0.3,0.44
5095,0.41,0.49,0.63
5097,0,0,0.02
5099,0.31,0.36,0.35
5101,0,0,0
5103,0.4,0.38,0.57
5105,0.02,0.03,0.1
5107,0.63,0.58,0.79
5109,0.03,0.04,0.07
5111,0.07,0.1,0.17
5113,0,0,0
5115,0.03,0.03,0.08
5117,0.12,0.18,0.32
5119,0.35,0.21,0.41
5121,0.01,0.01,0.03
5123,0.52,0.57,0.69
5125,0.05,0.06,0.11
5127,0,0,0
5129,0,0,0.01
5131,0.06,0.07,0.1
5133,0.04,0.09,0.14
5135,0.01,0,0.01
5137,0,0,0.01
5139,0.33,0.3,0.45
5141,0,0.01,0.02
5143,0.03,0.01,0.02
5145,0.04,0.04,0.08
5147,0.27,0.41,0.58
5149,0.01,0.04,0.07
5151,0.22,0.11,0.27
5152,0.06,0.07,0.18
5153,0.05,0.04,0.13
5154,0.19,0.19,0.37
5155,0.3,NULL,NULL
5157,0.1,0,NULL
5158,0.13,0.12,NULL
5159,0.48,0.25,0.33
5161,0.04,0.01,NULL
5162,0.57,NULL,NULL
5163,0.23,0.19,0.25
5164,0.06,0.07,NULL
5165,0.5,0.21,NULL
5166,0.06,0.06,NULL
5167,0.37,0.17,NULL
5168,0.29,0.2,0.32
5169,0.45,0.3,NULL
5171,0.43,0.26,0.37
5172,0.06,0.08,NULL
5173,0.79,0.47,0.46
5174,0.53,0.34,0.35
5175,0.08,0.07,0.16
5176,0.51,0.42,0.37
5177,0.28,0.17,0.23
5179,0.12,0.1,0.23
5181,0.2,0.06,NULL
5182,0.11,0.06,NULL
5183,0.14,0.14,NULL
5184,0.11,0.08,0.18
9001,0.11,0.05,0.01
9003,0.13,0.05,0.01
9005,0.01,0.01,0.01
9007,0.05,0.02,0.01
9009,0.13,0.05,0.02
9011,0.06,0.02,0.02
9013,0.03,0.01,0
9015,0.02,0,0.01
10001,0.24,0.15,0.23
10003,0.24,0.12,0.13
10005,0.13,0.21,0.17
11001,0.51,0.54,0.29
12001,0.2,0.26,0.56
12003,0.14,0.22,0.24
12005,0.11,0.15,NULL
12007,0.2,0.23,0.28
12009,0.1,0.11,0.3
12011,0.27,0.16,NULL
12013,0.14,0.16,0.29
12015,0.06,0.06,NULL
12017,0.03,0.18,0.54
12019,0.1,0.14,0.4
12021,0.07,0.14,NULL
12023,0.18,0.3,0.48
12027,0.13,0.22,0.17
12029,0.08,0.14,NULL
12031,0.3,0.23,0.5
12033,0.23,0.21,0.4
12035,0.11,0.38,NULL
12037,0.14,0.21,0.48
12039,0.56,0.59,0.67
12041,0.05,0.11,NULL
12043,0.12,0.34,NULL
12045,0.19,0.24,NULL
12047,0.34,0.44,0.47
12049,0.07,0.09,NULL
12051,0.13,0.24,NULL
12053,0.05,0.21,0.56
12055,0.09,0.21,NULL
12057,0.17,0.14,0.21
12059,0.06,0.04,0.1
12061,0.09,0.21,NULL
12063,0.27,0.31,0.48
12065,0.36,0.59,0.76
12067,0.16,0.12,0.2
12069,0.1,0.19,0.38
12071,0.08,0.16,0.15
12073,0.3,0.33,0.76
12075,0.09,0.3,0.46
12077,0.18,0.15,0.45
12079,0.39,0.47,0.56
12081,0.09,0.15,0.25
12083,0.12,0.35,0.61
12085,0.05,0.2,NULL
12086,0.19,NULL,NULL
12087,0.06,0.1,0.27
12089,0.06,0.25,0.53
12091,0.09,0.06,NULL
12093,0.08,0.16,NULL
12095,0.21,0.15,0.4
12097,0.11,0.1,0.17
12099,0.17,0.23,0.4
12101,0.04,0.11,0.33
12103,0.1,0.09,NULL
12105,0.15,0.18,0.31
12107,0.16,0.31,0.52
12109,0.06,0.27,0.41
12111,0.19,0.32,0.21
12113,0.05,0.07,0.28
12115,0.05,0.1,NULL
12117,0.11,0.25,NULL
12119,0.1,0.26,0.34
12121,0.11,0.27,0.42
12123,0.21,0.25,0.38
12125,0.22,0.27,NULL
12127,0.1,0.17,0.4
12129,0.15,0.29,0.5
12131,0.06,0.14,0.3
12133,0.15,0.19,0.3
13001,0.19,0.23,0.23
13003,0.17,0.29,NULL
13005,0.15,0.13,NULL
13007,0.47,0.59,0.72
13009,0.41,0.4,0.6
13011,0.02,0.07,0.21
13013,0.11,0.18,NULL
13015,0.1,0.15,0.25
13017,0.35,0.33,0.41
13019,0.11,0.15,0.28
13021,0.52,0.33,0.49
13023,0.27,0.28,NULL
13025,0.03,0.13,NULL
13027,0.35,0.49,0.59
13029,0.14,0.37,0.5
13031,0.28,0.37,0.4
13033,0.49,0.66,0.82
13035,0.27,0.47,0.53
13037,0.61,0.65,0.74
13039,0.19,0.4,0.66
13043,0.24,0.35,NULL
13045,0.18,0.19,0.21
13047,0.02,0.01,0.07
13049,0.28,0.32,0.25
13051,0.4,0.34,0.55
13053,0.19,0.18,0.69
13055,0.11,0.09,0.18
13057,0.06,0.04,0.07
13059,0.27,0.25,0.51
13061,0.6,0.62,0.73
13063,0.66,0.1,0.44
13065,0.28,0.38,0.4
13067,0.25,0.07,0.26
13069,0.27,0.27,0.35
13071,0.22,0.24,0.23
13073,0.15,0.36,0.75
13075,0.27,0.29,NULL
13077,0.17,0.36,0.56
13079,0.22,0.58,0.59
13081,0.43,0.43,0.52
13083,0.01,0.02,0.07
13085,0,0,0.03
13087,0.41,0.42,0.58
13089,0.54,0.09,0.3
13091,0.3,0.28,0.42
13093,0.5,0.53,0.62
13095,0.67,0.34,0.75
13097,0.39,0.15,0.24
13099,0.5,0.52,0.62
13101,0.04,0.28,0.3
13103,0.13,0.35,0.43
13105,0.3,0.34,0.5
13107,0.33,0.33,0.4
13109,0.29,0.37,NULL
13111,0,0,0.01
13113,0.2,0.3,0.35
13115,0.14,0.14,0.29
13117,0.03,0,0.09
13119,0.08,0.12,0.22
13121,0.44,0.35,0.33
13123,0,0,0.01
13125,0.08,0.29,0.32
13127,0.26,0.28,0.62
13129,0.04,0.06,0.09
13131,0.29,0.37,0.4
13133,0.38,0.52,0.63
13135,0.24,0.08,0.15
13137,0.03,0.05,0.07
13139,0.07,0.11,0.16
13141,0.74,0.75,0.74
13143,0.05,0.08,0.15
13145,0.17,0.55,0.72
13147,0.19,0.24,0.31
13149,0.1,0.23,0.34
13151,0.37,0.43,0.51
13153,0.29,0.22,0.74
13155,0.26,0.37,0.47
13157,0.07,0.13,0.29
13159,0.22,0.54,0.69
13161,0.15,0.2,0.26
13163,0.54,0.57,0.61
13165,0.41,0.5,0.63
13167,0.35,0.33,0.43
13169,0.24,0.5,0.71
13171,0.31,0.4,NULL
13173,0.24,0.3,NULL
13175,0.36,0.37,0.49
13177,0.19,0.63,0.86
13179,0.42,0.42,0.65
