"county","total_1960","black_1960","total_1910","black_1910","total_2010","black_2010"
17031,5129725,861146,2405233,46627,5194675,1287767
48201,1243158,246351,115693,30950,4092459,775492
36047,2627319,371405,1634351,22708,2504700,860083
12086,NULL,NULL,NULL,NULL,2496435,472976
48113,951527,137954,135748,24355,2368139,528200
36081,1809578,145855,284041,3198,2230722,426683
53033,935014,27805,284638,2487,1931249,119801
26163,2666297,529582,531591,6085,1820584,737943
48439,538495,59026,108572,15418,1809034,268983
12011,333946,54816,NULL,NULL,1748066,467519
48029,687151,45314,119676,11642,1714773,128892
36061,1698281,397101,2762522,64651,1585873,246687
42101,2002512,529240,1549008,84459,1526006,661839
25017,1238742,13066,669915,8583,1503085,70021
36103,666784,33035,96138,2771,1493350,111224
36005,1424815,163896,NULL,NULL,1385108,505200
36059,1300171,39350,83930,2317,1339532,149049
12099,228106,51953,5577,2220,1320134,228690
39035,1647895,255310,637425,8763,1280122,380198
12057,397788,55498,78374,16445,1229226,205073
42003,1628587,134122,1018463,34217,1223348,161861
26125,690259,23026,49576,251,1202362,164078
39049,682962,80235,221567,14006,1163414,247225
12095,263540,39088,19107,7604,1145956,238241
51059,275002,13821,20536,4864,1081726,99218
48453,212136,26863,55620,15473,1024266,87308
29189,703532,19007,82417,4253,998954,233029
24031,340928,11527,32089,9235,971777,167315
15003,500409,4878,NULL,NULL,953207,19256
36119,808891,60455,283055,8986,949113,138118
55079,1036041,63024,433187,996,947735,253764
47157,627019,227445,191439,91719,927644,483381
13121,556326,193024,177733,57985,920581,405575
37119,272111,66701,67031,25481,919628,282804
36029,1064688,74880,528985,2059,919040,123931
17043,313459,677,33432,171,916924,42346
9001,653589,33614,245322,3516,916829,99317
12103,374665,33088,NULL,NULL,916542,94745
34003,780255,16269,138002,3295,905116,52473
18097,697567,99912,263661,23256,903393,240975
37183,169082,43851,63229,25870,900993,186510
9003,689555,31715,250182,2934,894014,119191
12031,455411,105655,75163,37270,864263,255018
24033,357395,31011,36147,11493,863420,556620
9009,660315,34122,337282,5634,862477,109850
26099,405804,6262,32606,102,840978,72723
34023,433856,16489,114426,1846,809858,78462
13135,43541,3502,28824,4431,805321,190167
24005,492428,17054,122349,12601,805029,209738
39061,864121,123437,460732,24300,802374,205952
48141,314070,8571,52599,1562,800647,24864
42091,516682,18834,169590,6021,799874,69351
25027,583228,3218,399657,1847,798552,33314
53053,321590,10520,120812,889,795225,53998
34013,923545,180737,512886,18104,783969,320479
48085,41247,4407,49021,2206,782341,66387
48215,180904,456,13728,62,774769,4569
36055,586387,24184,283212,1224,744344,113171
25009,568831,2488,436477,2024,743159,27985
21111,610947,78350,262920,45794,741096,154246
41051,522813,16082,226261,1081,735334,41401
25025,791329,63676,731388,13886,722023,156292
53061,172199,456,59209,219,713335,18168
17097,293656,11719,55058,491,703462,49033
13089,256782,22171,27881,8362,691893,375725
13067,114174,8032,28397,7418,688078,171774
17197,191617,11915,84371,1134,677560,75743
29095,622732,84022,283522,24936,674158,161367
25021,510256,1502,187506,797,670850,38148
48121,47432,2884,31258,2210,662614,55534
1073,634864,219542,226476,90617,658466,276525
34017,610734,41327,537231,7173,634266,83925
34025,334401,30730,94734,8279,630380,46443
47037,399743,76437,149478,46710,626681,173730
44007,568778,13275,424353,6391,626667,53040
42017,308567,5488,76530,1832,625249,22376
2451,939024,325589,558485,84749,620961,395781
12071,54539,8540,6294,937,618754,51069
26081,363187,14630,159145,729,602622,58648
12105,195139,35960,24148,7419,602095,88833
11001,763956,411737,331069,94446,601723,305125
48157,40527,8104,18168,11422,585375,125818
34029,108241,3351,21318,438,576567,18164
42045,553154,38529,117906,11897,558979,110260
25005,398488,4702,318573,4003,548285,17832
12009,111435,12334,4717,1399,543376,54799
39153,513569,41256,108253,757,541781,78120
10003,307446,36039,123188,15682,538479,127786
24003,206634,29708,39553,14136,537656,83484
34039,504255,37972,140197,5353,536499,118313
39113,527080,61886,163763,5481,535153,111870
41067,92237,54,21522,7,529710,9616
42071,278359,3574,167029,2299,519445,19035
17089,208246,4675,91862,760,515269,29422
34007,392035,35297,142029,9402,513657,100441
34031,406618,26799,215902,2401,501226,64295
42029,210608,17374,109213,10622,498886,30623
18089,513269,87109,82864,493,496005,128263
25023,248449,4563,144337,2484,494919,35608
12127,125319,21048,16510,6592,494593,51791
34027,261620,5375,74704,1940,492276,15360
37081,246520,51159,60497,15379,488406,158899
55025,222095,1611,77435,173,488073,25347
53063,278333,2993,139404,1170,471221,8056
36085,221991,9674,85969,1152,468730,49857
36067,423028,11767,200298,1296,467026,51220
12101,36785,4065,7502,2456,464697,20700
25013,429353,14737,231369,1757,463490,41644
48339,26839,6125,15679,7104,455746,19401
45045,209776,36786,68377,20861,451225,81497
34005,224499,14280,66565,3454,448734,74505
39095,456931,42863,192728,1918,441815,83926
22033,230058,72993,34580,21342,440171,199505
5181,8091,515,NULL,NULL,437994,85935
42133,238336,5301,136405,2113,434972,24344
22051,208769,31625,18247,6785,432552,113887
47093,250523,22709,94187,12709,432226,38045
19153,266315,10535,110438,3591,430640,25853
26049,374313,36553,64555,416,425790,88127
53011,93809,440,26115,47,425363,8426
12117,54947,13500,NULL,NULL,422718,47107
48491,35044,4878,42228,7370,422679,26196
1097,314301,100968,80854,34719,412992,142992
42011,275414,4689,183222,1007,411442,20143
48061,151098,922,27158,74,406220,2155
51153,50164,3965,12026,2825,402002,81196
33011,178161,312,126072,77,400721,8298
16001,93460,246,29088,168,392365,4441
55133,158249,146,37100,74,389891,4914
45079,200102,64845,55143,29533,384504,176538
5119,242980,51945,86751,35462,382748,133858
12115,76895,7412,NULL,NULL,379448,17815
41005,113038,99,29931,11,375992,3082
39151,340345,18303,122987,752,375586,28537
36071,183734,9644,116001,3081,372813,37946
39017,199076,10315,70271,1781,368130,26972
34021,266392,33714,125657,5125,366513,74318
42129,352629,7090,231304,2641,365169,8562
29183,52970,868,24695,1718,360485,14960
18003,232196,11702,93386,601,355329,41618
41039,162890,336,33783,13,351715,3369
37067,189428,45659,47311,14027,350670,91227
45019,216382,78488,88594,56033,350209,104239
42077,227536,957,118832,247,349497,21440
26161,172440,11773,44714,1130,344791,43767
22071,627525,233514,339075,89262,343829,206871
48355,221573,10108,21955,742,340223,13637
47065,237905,47241,89267,26026,336463,67900
1089,117348,21910,47041,18894,334811,80376
12083,51616,18001,26941,16376,331298,40828
34035,143913,4476,38820,1414,323444,28943
12081,69168,10452,9550,2346,322833,28230
12021,15753,2280,NULL,NULL,321520,21087
42079,346972,1081,343186,924,320918,10767
37051,148418,37690,35284,15353,319431,117117
2951,750026,214377,687029,43960,319294,157160
51041,71197,9405,21299,7527,316236,69412
41047,120888,226,39780,58,315335,3371
48039,76204,9073,13299,6237,313166,37761
51107,24549,4335,21167,5221,312311,22710
36087,136803,6854,46873,1534,311687,37058
48027,94097,10651,49186,6302,310235,66700
17111,84210,22,32509,29,308760,3283
51087,117339,5989,23437,6837,306935,90669
36001,272926,11210,173666,1222,304204,38609
39093,217500,12234,76037,1521,301356,25799
42095,201412,2297,127667,615,297735,14986
12033,173829,35856,38029,15111,297619,68282
36027,176008,9917,87661,2367,297488,29518
12069,57383,11122,9509,3627,297052,29103
21067,131906,20037,47715,14879,295803,42972
17201,209765,8574,63153,257,295266,36108
33015,99029,1375,52188,158,295223,1996
48167,140364,29846,44479,8747,291309,40112
34015,134840,12262,37368,2375,288288,29006
24027,36152,4049,16106,3772,287085,50188
45083,156830,34660,83465,26410,284307,58565
23005,182751,648,112014,428,281674,6781
26065,211296,7447,53310,404,280895,33047
42049,250682,6994,115517,392,280566,20155
48303,156271,12306,3624,5,278831,20952
12111,39294,12732,4075,865,277789,53036
12073,74225,24282,19427,14726,275487,83520
29077,126276,2358,63831,2625,275174,7892
